ÃÄ«~¥N½X,¾A¥Î±Ú¸s(¦¨¤H/¨àµ£),ÀËÅç¤è¦¡,¤U­­,¤W­­,¤U­­³æ¦ì,¤W­­³æ¦ì,«ØÄ³,³Æµù,·s¼W®É¶¡,­×§ï®É¶¡
IESM,¦¨¤H,Clcr,0,0,mL/min,mL/min,¨Ï¥Î 0.6 mg.kg-1 ¤§ rocuronium bromide¬°§Ö³t³Â¾K»¤¾É¤§´¡ºÞ¾¯¶q®É¡A³oÃþ¯f¤H¤§Á{§É§@¥Î®É¶¡¹w´Á¥i¯à·|©µªø¡CµL½×¨Ï¥Î¦óºØ³Â¾K§Þ³N¡A³oÃþ¯f¤H¤§±ÀÂËºû«ù¾¯¶q¬°0.075-0.1 mg.kg-1¤§rocuronium bromide¡A¦Ó±ÀÂË¿éª`²v¬°0.3~0.4 mg.kg-1.h-1,,201804160518,202303090951
IETP,¦¨¤H,eGFR,29.99,0.01,mL/min/1.73m2,mL/min/1.73m2,500mg once daily,¥é³æ 20230330,202303301109,
IETP,¦¨¤H,Clcr,0,0,mL/min,mL/min,Hemodialysis (HD): 0.5 gm q24h.  (If dosed within 6 hrs prior to HD¡A give 150 mg supplement after hemodialysis (AD). If dosed >6 hrs prior to HD¡A no AD supplement required).,Sanford Guide 20230330,202303301019,202303301103
IETP,¦¨¤H,Clcr,29.99,0,mL/min,mL/min,0.5 gm q24h,Sanford Guide 20230330,202303301103,202303301103
IFADI,¦¨¤H,Clcr,49.00,0,mL/min,mL/min,Administer 50% of dose or increase the dosing interval to every 36 to 48 hours.,uptodate 20200803,202003121413,202008031022
IFAM,¦¨¤H,Clcr,0,49.99,mL/min,mL/min,Administer 50% of dose or increase the dosing interval to every 36 to 48 hours.,,201804131612,201910141634
IFAS,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,¶·ÂÔ·V¨Ï¥Î,,201805021609,202303090952
IFAS0,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,¶·ÂÔ·V¨Ï¥Î,,201805021609,202303090952
IFIR,¦¨¤H,eGFR,0,49.99,mL/min/1.73m2,mL/min/1.73m2,use with caution.,,201902271525,202303090952
IFIR8,¦¨¤H,eGFR,0,49.99,mL/min/1.73m2,mL/min/1.73m2,use with caution.,,201812191213,202303090953
IFLUC,¦¨¤H,Clcr,0,1.00,mL/min,mL/min,³W«h±µ¨ü¦å²G³zªR¯f¤H: ¨C¦¸¦å²G³zªR«áµ¹ÃÄ¡C,¥é³æ 20240104,202401042127,202401042125
IFLUC,¦¨¤H,Clcr,10.00,20.00,mL/min,mL/min,³æ¾¯¶qªvÀø®É¤£¶·½Õ¾ã¾¯¶q¡A¦ý¹ïµÇ¥\¯à¤£¥þªÌ¦h¦¸µ¹ÃÄ®É¡A¦b²Ä¤@¡B¤G¤Ñ¡A¥iµ¹¤©¥¿±`ªº¾¯¶q¡A¤§«á§ï¬°µ¹ÃÄ¶¡¹j72¤p®É¡A©Î¨C¤éµ¹¤©¥¿±`¨C¤é¾¯¶qªº¤T¤À¤§¤@¡C,¥é³æ 20240104,202401042125,202401042125
IFLUC,¦¨¤H,Clcr,21.00,40.00,mL/min,mL/min,³æ¾¯¶qªvÀø®É¤£¶·½Õ¾ã¾¯¶q¡A¦ý¹ïµÇ¥\¯à¤£¥þªÌ¦h¦¸µ¹ÃÄ®É¡A¦b²Ä¤@¡B¤G¤Ñ¡A¥iµ¹¤©¥¿±`ªº¾¯¶q¡A¤§«á§ï¬°µ¹ÃÄ¶¡¹j48¤p®É¡A©Î¨C¤éµ¹¤©¥¿±`¨C¤é¾¯¶qªº¤@¥b¡C,¥é³æ 20240104,202401042125,202401042125
IFMR,¦¨¤H,Clcr,5.00,0,mL/min,mL/min,0.5g/day,2021/01/28¼t°Ó´£¨Ñ¸ê°T,202101281551,202101281542
IFMR,¦¨¤H,Clcr,25.00,5.00,mL/min,mL/min,1g/day,2021/01/28¼t°Ó´£¨Ñ¸ê°T,202101281542,202101281542
IFMR,¦¨¤H,Clcr,50.00,25.00,mL/min,mL/min,2g/day,2021/01/28¼t°Ó´£¨Ñ¸ê°T,202101281541,202101281542
IFMR,¦¨¤H,Clcr,60.00,0,mL/min,mL/min,µL¬ÛÃö¬ö¸ü,¥é³æ,202101251230,202303090953
IFOLI,¦¨¤H,Clcr,0,0,mL/min,mL/min,¯f¤H­Y¦³¸¡¤ô¡A¯Ý½¤º¯³z²G¡AµÇ¥\¯à»ÙÃª©ÎHydration¤£°÷®É·|©µ¿ðmethotrexate±Æ¥X¡AÀ³¦Ò¼{¼W¥[Folina¾¯¶q©Î©µªøªvÀø®É¶¡,,201804191521,201804191521
IFRA,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,There are no dosage adjustments provided in the manufacturer's labeling. Use with caution in severe renal impairment; accumulation may occur with repeated dosing¡A increasing the risk for bleeding.,,201804191146,202303090953
IFRA5,¦¨¤H,Clcr,30.00,0,mL/min,mL/min,¹ï©óÅãµÛµÇ°IºÜ¤§¯f¤H(¨ä©w¸q¬°¦Ù»ÄÓþ>3­¿ULN)¡AÀ³½Õ¾ãdalteparinªº¾¯¶q¡A ¨Ï§ÜXa¦]¤l¿@«×¦bª`®gdalteparin«á4~6¤p®Éºû«ù¦b1 IU/mL (½d³ò¡G0.5-1.5 IU/mL)ªºªvÀø ¿@«×¡C¦pªG§ÜXa¦]¤l¿@«×§C©ó©Î°ª©óªvÀø½d³ò¡AÀ³¤À§O¥Îª`®g°wµ©»s¾¯¼W¥[©Î­°§C¾¯¶q¡A ¨Ã©ó§ë¤©3-4­Ó·s¾¯¶q¤§«á­«·sÀË´ú§ÜXa¦]¤l¿@«×¡C­«½Æ¶i¦æ¦¹ºØ¾¯¶q½Õ¾ã¡Aª½¦Ü¹F¨ì §ÜXa¦]¤lªvÀø¿@«×¬°¤î¡C,¥é³æ,202110061300,202110061301
IFUR1,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,750 mg every 24 hr,,201803261645,202303090953
IFUR1,¦¨¤H,Clcr,0,0,mL/min,mL/min,a supplemental dose should be given after hemodialysis,¦å²G³zªR±wªÌ,201803261645,202303090953
IFUR1,¦¨¤H,Clcr,10.00,20.00,mL/min,mL/min,750 mg every 12 hr,,201803261644,202303090953
IFYT,¦¨¤H,Clcr,15.00,50.00,mL/min,mL/min,75%¾¯¶q,,201805021612,201805021612
IFYT,¦¨¤H,Clcr,50.00,120.00,mL/min,mL/min,100%¾¯¶q,,201805021612,201805021612
IGEN8,¦¨¤H,Scr,1.40,99.00,mg/dL,mg/dL,(if to increase dosing interval)Multiply the SCr by a factor of 8 to get dosing interval in hours.(eg¡A a 60 kg patient with SCr of 2 mg/dL at a dose of 1 mg/kg would receive 60 mg every 16 hours (SCr x 8)) (if to decrease dose)Administer usual initial dose¡A then reduce dose by dividing initial dose by SCr and administer every 8 hours (eg¡A a 60 kg patient with SCr of 2 mg/dL at a dose of 1 mg/kg would receive 60 mg initially¡A then 30 mg every 8 hours (initial dose divided by SCr)),[Micromedex],202412251128,202412251209
IGEN8,¦¨¤H,Clcr,0,0,mL/min,mL/min,Hemodialysis¡A intermittent (thrice weekly): Urinary tract infection: IM¡A IV: 1 to 1.5 mg/kg/dose 3 times weekly after dialysis on dialysis days. Systemic gram-negative infection: IM¡A IV: 2 to 3 mg/kg/dose 3 times weekly after dialysis on dialysis days.,[UpToDate],202412251214,202412251216
IGEN8,¦¨¤H,Clcr,1.00,19.00,mL/min,mL/min,(High-dose¡A extended-interval dosing) IV: Administer usual dose once¡A then determine subsequent dose and interval based on serum concentration monitoring. Some published protocols would recommend conventional/traditional dosing in these patients. (Conventional/traditional dosing)IM¡A IV: Administer usual dose every 36 to 48 hours; adjust dose and/or interval based on gentamicin serum concentrations.,[UpToDate],202412251212,202412251214
IGEN8,¦¨¤H,Clcr,20.00,39.00,mL/min,mL/min,(High-dose¡A extended-interval dosing)IV: Administer every 48 hours; adjust dose and/or interval based on gentamicin serum concentrations. (Conventional/traditional dosing)IM¡A IV: Administer usual dose every 24 hours; adjust dose and/or interval based on gentamicin serum concentrations.,[UpToDate],202003150919,202412251209
IGEN8,¦¨¤H,Clcr,40.00,59.00,mL/min,mL/min,(High-dose¡A extended-interval dosing)IV: Administer every 36 hours; adjust dose and/or interval based on gentamicin serum concentrations. (Conventional/traditional dosing)IM¡A IV: Administer usual dose every 12 hours; adjust dose and/or interval based on gentamicin serum concentrations.,[UpToDate],202003150919,202412251210
IGEN8,¦¨¤H,Clcr,60.00,120.00,mL/min,mL/min,(High-dose¡A extended-interval dosing)IV: Administer every 24 hours; adjust dose and/or interval based on gentamicin serum concentrations. (Conventional/traditional dosing)IM¡A IV: No dosage adjustment necessary.,[UpToDate],202003150919,202412251210
IGENT,¦¨¤H,Clcr,20.00,39.00,mL/min,mL/min,usual mg/kg dose every 48 hours (once-daily dosing),,,202303090954
IGENT,¦¨¤H,Clcr,40.00,59.00,mL/min,mL/min,usual mg/kg dose every 36 hours (once-daily dosing),,,202303090954
IGENT,¦¨¤H,Clcr,60.00,120.00,mL/min,mL/min,usual mg/kg dose every 24 hours (once-daily dosing),,,202303090954
IGLY1,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à»ÙÃª¤§¯f±wÀ³ÂÔ·V¨Ï¥Î,¥é³æ,201804121422,202201120909
IGLY3,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à»ÙÃª¤§¯f±wÀ³ÂÔ·V¨Ï¥Î,¥é³æ,202201120909,202201120909
IHALA,¦¨¤H,Clcr,15.00,49.00,mL/min,mL/min,Reduce initial dose to 1.1 mg/m2,202106¥é³æ,202106171505,202106171519
IHYC,¦¨¤H,Clcr,20.00,39.00,mL/min,mL/min,0.75mg/m2,,201805021619,202303090955
IHYC,¦¨¤H,Clcr,40.00,60.00,mL/min,mL/min,¤£»Ý½Õ¾ã,,201805021619,202303090955
IIG3,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,IV: Use with caution due to risk of immune globulin-induced renal dysfunction; the rate of infusion and concentration of solution should be minimized. Discontinue if renal function deteriorates during treatment.,,201804231623,202303090955
IINV,¦¨¤H,Clcr,0,50.00,mL/min,mL/min,¤£«ØÄ³¨Ï¥Î,,202312031017,
IINV,¦¨¤H,Clcr,50.00,80.00,mL/min,mL/min,156 mg IM on day 1 and 117 mg IM 1 week later,maintenance¡A 78 mg IM monthly,202312031017,
IINV2,¦¨¤H,Clcr,0,50.00,mL/min,mL/min,¤£«ØÄ³¨Ï¥Î,,201804142336,201804142336
IINV2,¦¨¤H,Clcr,50.00,80.00,mL/min,mL/min,156 mg IM on day 1 and 117 mg IM 1 week later,maintenance¡A 78 mg IM monthly,201804142336,202303090959
IINVZ,¦¨¤H,Clcr,0,0,mL/min,mL/min,Hemodialysis: 500 mg IV every 24 hours; supplemental dose of 150 mg after hemodialysis if last dose administered within 6 hours prior to hemodialysis,Micromedex 20211005,202110051935,202110051934
IINVZ,¦¨¤H,Clcr,30.00,0,mL/min,mL/min,CrCl 30 mL/min or less¡A 500 mg IV every 24 hours,Micromedex 20211005,202110051934,202110051934
IKCL,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇÅ¦¯e¯f¡AAddison¤ó¯g¡A°ª¦å¹[¯g¤£«ØÄ³¨Ï¥Î,,201804261451,202303090955
IKCL2,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇÅ¦¯e¯f¡AAddison¤ó¯g¡A°ª¦å¹[¯g¤£«ØÄ³¨Ï¥Î,,201804261452,201804261452
IKCL5S,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇÅ¦¯e¯f¡AAddison¤ó¯g¡A°ª¦å¹[¯g¤£«ØÄ³¨Ï¥Î,,201804261453,201804261453
IKCL6,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇÅ¦¯e¯f¡AAddison¤ó¯g¡A°ª¦å¹[¯g¤£«ØÄ³¨Ï¥Î,,201804261455,201804261455
IKCL7S,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇÅ¦¯e¯f¡AAddison¤ó¯g¡A°ª¦å¹[¯g¤£«ØÄ³¨Ï¥Î,,201804261456,201804261456
IKCL8S,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇÅ¦¯e¯f¡AAddison¤ó¯g¡A°ª¦å¹[¯g¤£«ØÄ³¨Ï¥Î,,201804261456,201804261456
IKEP,¦¨¤H,Clcr,0,0,mL/min,mL/min,¬~µÇ±wªÌ500 to 1000 mg IV every 24 hours¡A¬~µÇ«á¦A¸É¥R250-500mg¡C,,202312031022,201804160416
IKEP,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,250 to 500 mg IV every 12 hours,,201804160412,201804160416
IKEP,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,250 to 750 mg IV every 12 hours,,201804160412,202303090956
IKEP,¦¨¤H,Clcr,50.00,80.00,mL/min,mL/min,500 to 1000 mg IV every 12 hours,,201804160411,202303090956
IKETO,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,µÇ¥\¯à¤£¥þªÌ¡A«ØÄ³µ¹ÃÄ¶¡¹j¬° ¨C6¤p®É ¨C¦¸15mg,³Ì°ª¨C¤é¾¯¶q¬°60 mg/day,201804141541,201912091116
ILATO,¦¨¤H,Clcr,0,60.00,mL/min,mL/min,30mg IM stat for 1 dose OR 15mg IM q6h¡A MAX 60mg/day;  15mg IV stat for 1 dose OR 15mg IV q6h¡A MAX 60mg/day.,¥é³æ 20231003,202310031403,202310031404
ILEV,¦¨¤H,eGFR,0,0,mL/min/1.73m2,mL/min/1.73m2,¦Ñ¦~¯f¤H·|«ØÄ³±q¤@¯ë«ØÄ³¾¯¶q¤§½d³ò¤¤ªº³Ì§C¾¯¶q¨Ó¶}©l¨Ï¥Î,,201808231126,202303090956
ILEV2,¦¨¤H,Clcr,0,0,mL/min,mL/min,¦Ñ¦~¯f¤H·|«ØÄ³±q¤@¯ë«ØÄ³¾¯¶q¤§½d³ò¤¤ªº³Ì§C¾¯¶q¨Ó¶}©l¨Ï¥Î,,201804120029,201804120029
ILEVET,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,250 to 500 mg IVD every 12 hours,,201903240936,201903241015
ILEVET,¦¨¤H,Clcr,0,0,mL/min,mL/min,End-stage renal disease (ESRD) requiring hemodialysis: 500 to 1000 mg IVD QD (ªvÀø­º¤é«ØÄ³¾¯¶q¬°750 mg¡A¬~µÇ«á«ØÄ³¸É¥R¾¯¶q¬°250¦Ü500 mg),,201903241015,201903241022
ILEVET,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,250 to 750 mg IVD every 12 hours,,201903240936,201903241015
ILEVET,¦¨¤H,Clcr,50.00,80.00,mL/min,mL/min,500 to 1000 mg IVD every 12 hours,,201903240936,201903241015
ILFT,¦¨¤H,Clcr,0,4.99,mL/min,mL/min,Loading dose 1-2g¡A followed by 0.5-1g Q24-48H,UpToDate 2023-01-12,202301121140,202301121139
ILFT,¦¨¤H,Clcr,0,0,mL/min,mL/min,Loading dose 1-2 g after each hemodialysis; maintenance dose as noted above based on ClCr,Hemodialysis. UpToDate 2023-01-12,202301121148,202301121148
ILFT,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,2 gm q24-48h,Sanford Guide 2023-01-15,202301150907,202301121148
ILFT,¦¨¤H,Clcr,0,0.01,mL/min,mL/min,2 gm q24h-48h; extra 1 gm after hemodialysis,Hemodialysis. Sanford Guide 2023-01-15,202301150911,202301121148
ILFT,¦¨¤H,Clcr,5.00,9.00,mL/min,mL/min,Loading dose 1-2g¡A followed by 0.5-1g Q12-24H,UpToDate 2023-01-12,202301121140,202301121139
ILFT,¦¨¤H,Clcr,10.00,29.00,mL/min,mL/min,Loading dose 1-2g¡A followed by 1-2g Q12-24H,UpToDate 2023-01-12,202301121139,202301121139
ILFT,¦¨¤H,Clcr,10.00,50.00,mL/min,mL/min,2 gm q8-12h,Sanford Guide 2023-01-15,202301150907,202301150909
ILFT,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,Loading dose 1-2g¡A followed by 1-2g Q8-12H,UpToDate 2023-01-12,202301121138,202301121138
ILIG2,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,Administer maintenance infusion at lower rate with close monitoring,Micromedex 20210217,202102171142,202102171143
ILIP20,¦¨¤H,Clcr,0,0,mL/min,mL/min,¥¼±µ¨ü³zªRªvÀø¤§ÄY­«µÇ¥\¯à¤£¥þªÌ¤£«ØÄ³¨Ï¥Î,,201804261436,201804261436
IMAG2,¦¨¤H,Clcr,0,0,mL/min,mL/min,¦³µÇ¥\¯à»ÙÃª¤§±wªÌ¡A°ªÁâ¦å¯g±wªÌ¥²¶·¼f·V§ë»P,,201804261459,201804261459
IMAN1,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇÅ¦¯e¯f©Î¶i¦æ©ÊµÇ·l®`©ÎµÇ¥\¯à»ÙÃª¤§§¹¥þµL§¿¯f±w¤£«ØÄ³¨Ï¥Î,,201804121420,202303090956
IMAR4,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇ¥\¯à¤£¥þ¯f±wÀ³¤p¤ß¨Ï¥Î¡A¥H´î§Cµo¥Í¦MÀI°Æ§@¥Îªº­·ÀI,,201804191601,201804191601
IMARS,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇ¥\¯à¤£¥þ±wªÌÀ³¤p¤ß¨Ï¥Î¡A¥H´î§Cµo¥Í¦MÀI°Æ§@¥Îªº­·ÀI,,201804191602,201804191602
IMAXI,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,»´¦Ü¤¤«×ªc§¿¹D·P¬V(UTI):0.25g Q24h;»´¦Ü¤¤«×«Dªc§¿¹D·P¬V:0.25g Q24h;ÄY­«·P¬V:0.5g Q24h;«D±`ÄY­«©Î¦³¥Í©R«Â¯Ù¤§·P¬V:1g Q24h,,201803261647,202303090956
IMAXI,¦¨¤H,Clcr,0,0,mL/min,mL/min,»´¦Ü¤¤«×ªc§¿¹D·P¬V(UTI):0.5g Q24h;»´¦Ü¤¤«×«Dªc§¿¹D·P¬V:0.5g Q24h;ÄY­«·P¬V:0.5g Q24h;«D±`ÄY­«©Î¦³¥Í©R«Â¯Ù¤§·P¬V:0.5g Q24h,¦å²G³zªR±wªÌ,201803261647,202303090956
IMAXI,¦¨¤H,Clcr,11.00,29.00,mL/min,mL/min,»´¦Ü¤¤«×ªc§¿¹D·P¬V(UTI):0.5g Q24h;»´¦Ü¤¤«×«Dªc§¿¹D·P¬V:0.5g Q24h;ÄY­«·P¬V:1g Q24h;«D±`ÄY­«©Î¦³¥Í©R«Â¯Ù¤§·P¬V:2g Q24h,,201803261647,202303090956
IMAXI,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,»´¦Ü¤¤«×ªc§¿¹D·P¬V(UTI):0.5g Q24h;»´¦Ü¤¤«×«Dªc§¿¹D·P¬V:1g Q24h;ÄY­«·P¬V:2g Q24h;«D±`ÄY­«©Î¦³¥Í©R«Â¯Ù¤§·P¬V:2g Q12h,,201803261646,202303090956
IMAXI,¦¨¤H,Clcr,50.00,199.00,mL/min,mL/min,»´¦Ü¤¤«×ªc§¿¹D·P¬V(UTI):0.5g Q12h;»´¦Ü¤¤«×«Dªc§¿¹D·P¬V:1g Q12h;ÄY­«·P¬V:2g Q12h;«D±`ÄY­«©Î¦³¥Í©R«Â¯Ù¤§·P¬V:2g Q8h,,201803261646,202303090956
IMENO,¦¨¤H,Clcr,0,59.99,mL/min,mL/min,¹ï©óµÇ¾÷¯à»ÙÃª¡A§³®W±wªÌ­YÀR¯ßª`®g¥|Àô¯ÀªvÀø¡A¨C¤é¾¯¶q¶W¹L2¤½§J±N­P¨x¾÷¯à°IºÜ¡C¹ï©óªvÀø°ª¦MÀI¸s¯f¤H(§³®W©Î¤wª¾µÇ¥\¯à©Î¨x¥\¯à¤£¥þ)¦bªvÀø«e©MªvÀø´Á¶¡§¡»Ý§@¨x¥\¯à©MµÇ¥\¯àÀË¬d¡C,¥é³æ 20240521,202405211545,202405211542
IMENO,¦¨¤H,Clcr,0,5.00,mL/min,mL/min,Hemodialysis¡A Prolonged intermittent renal replacement therapy (PIRRT)¡A Continuous renal replacement therapy: No adjustment necessary.,Micromedex 20240521,202405211541,202405211541
IMENO,¦¨¤H,Clcr,0,60.00,mL/min,mL/min,Reduce total dose or extend dosing interval. Do not exceed 200 mg in 24 hours.,Micromedex 20240521,202405211542,202405211542
IMEP2,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,¾¯¶q´î¥b¡A¨C24¤p®É§ë¤©¤@¦¸,1gm/day,,202303090956
IMEP2,¦¨¤H,Clcr,10.00,25.00,mL/min,mL/min,¾¯¶q´î¥b¡A¨C12¤p®É§ë¤©¤@¦¸,1gm/day,,202303090956
IMEP2,¦¨¤H,Clcr,26.00,50.00,mL/min,mL/min,¤@¯ë¾¯¶q¡A¨C12¤p®É§ë¤©¤@¦¸,2gm/day,,202303090956
IMETE2,¦¨¤H,Clcr,60.00,0,mL/min,mL/min,Use caution in patients with renal impairment.,¥é³æ 20230317,202303171947,202303171947
IMID5,¦¨¤H,Clcr,0.10,0,mL/min,mL/min,µÇ¥\¯à¨ü·lªº±wªÌ¡AÃÄª«°Ê¤O¾Ç©M°·±d§ÓÄ@ªÌ¤j­P¬Û¦P¡C¤£¹L¡A¦bºC©ÊµÇ¯f±wªÌ¤¤¡A¥Ø«e¤wÃÒ¹ê·|¥X²{£\-hydroxymidazolam»W¿n²{¶H¡A³o¥i¯à·|«P¶imidazolamªºÁ{§É§@¥Î¡AÄ~¦Ó¾É­PÂíÀR§@¥Îªº«ùÄò®É¶¡©µªø¡C,¥é³æ 20240130,202401301712,202401301712
IMORP,¦¨¤H,eGFR,0,10.00,mL/min/1.73m2,mL/min/1.73m2,Reduce dose by 50% or consider alternative opioid analgesics,,201804141507,201804141508
IMORP,¦¨¤H,eGFR,10.00,50.00,mL/min/1.73m2,mL/min/1.73m2,Reduce dose by 25%,,201804141507,202303091001
IMTX2,¦¨¤H,Clcr,0,15.00,mL/min,mL/min,ÄY­«µÇ¥\¯à¤£¥þ¸T¥Î,,201804301634,202303090956
IMUT,¦¨¤H,Clcr,0,50.00,mL/min,mL/min,¥»ÃÄ¸g¥ÑµÇÅ¦±Æªn¡AµÇ¥\¯à»ÙÃª±wªÌ½Ð¤p¤ß¨Ã´î¶q¨Ï¥Î,¥é³æ,202104061013,202312031057
IMV13,¦¨¤H,eGFR,0,59.99,mL/min/1.73m2,mL/min/1.73m2,µÇ¥\¯à»ÙÃªªÌÂÔ·V¨Ï¥Î¡C,,201804231722,202303090957
INEP,¦¨¤H,Clcr,0,0,mL/min,mL/min,­Y¤Þ°_µÇ¥\¯à§C¤U¡A«h¶·¥ý¸É¥R¨¬¶q¤ô¤À¤Î¹q¸Ñ½è,,201804261430,202303090957
INOB,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,250 to 500 mg IV every 12 hours,,201804141516,201804141516
INOB,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,250 to 750 mg IV every 12 hours,,201804141514,201804141515
INOB,¦¨¤H,Clcr,50.00,80.00,mL/min,mL/min,500 to 1000 mg IV every 12 hours,,201804141514,202303091002
IOLA5,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,¸T§Ò,,201804301602,202303090957
IOLI3,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à¤£¥þªº±wªÌÀ³ÂÔ·V¨Ï¥Î,,201804261523,201804261523
IOPT,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,There are no dosage adjustments provided in the manufacturer¡¦s labeling. Use caution in severe impairment¡A anuria¡A and in setting of combined renal and hepatic disease.,,201804181143,202303090957
IORE,¦¨¤H,Clcr,0,29.90,mL/min,mL/min,ÃÄ«~¥é³æ¡G¸T§Ò¨Ï¥Î¦bClCr<30 mL/minªº±wªÌ¡C UPTODATE¡GReduce dose from 85 mg/m2 to 65 mg/m2.,,201803221503,201811081514
IOXA,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,Reduce dose to 65 mg/m(2),¥é³æ 20240103,202401031509,202401031511
IOXA1,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,Consider giving 50% of the original dose.,[Micromedex]20241205,202412051621,202412051621
IOXA1,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,Reduce the oxaliplatin dose to 65 mg/m(2),[Micromedex]20241205,202412051620,202412051621
IOZE4,¦¨¤H,Clcr,0,60.00,mL/min,mL/min,µÇ¥\¯à¤£¥þªº¯f¤H¤£»Ý½Õ¾ã¾¯¶q¡A¦b¥]§t¥½´ÁµÇ¯f(ESRD)ªºµÇ¥\¯à¤£¥þ¨ü¸ÕªÌ¤¤¡A¥¼Æ[¹î¨ìsemaglutide ÃÄª«°Ê¤O¾Ç (PK)¦³Á{§É¬ÛÃö©Êªº§ïÅÜ,¥é³æ 20240528,202405281404,202405281404
IPAM2,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à¤£¥þªÌ¾¯¶qÀ³¸Ó´î§C,,201804191507,201804191507
IPAR,¦¨¤H,Clcr,15.00,150.00,mL/min,mL/min,Á`¾¯¶q(mg) = ( ¥Ø¼ÐAUC) x (GFR+25),,201804301604,202303090957
IPAR,¦¨¤H,Clcr,16.00,40.00,mL/min,mL/min,200 mg/m2,202106¥é³æ,202106171700,202303090957
IPAR,¦¨¤H,Clcr,41.00,59.00,mL/min,mL/min,250 mg/m2,202106¥é³æ,202106171701,202303090957
IPCN3,¦¨¤H,eGFR,0.01,9.99,mL/min,mL/min,Administer 20% to 50% of the normal dose,(Aronoff 2007),202004021527,202004021523
IPCN3,¦¨¤H,eGFR,10.00,50.00,mL/min,mL/min,Administer 75% of the normal dose,(Aronoff 2007),202004021528,202004021523
IPCN3,¦¨¤H,Clcr,0.01,9.99,mL/min/1.73 m^2,mL/min/1.73 m^2,administer full loading dose¡A followed by 50% loading dose every 8 to 10 hours,Manufacturer's labeling,201803051606,202004021523
IPCN3,¦¨¤H,Clcr,10.00,130.00,mL/min/1.73 m^2,mL/min/1.73 m^2,administer a full loading dose¡A followed by 50% loading dose every 4 to 5 hours,Manufacturer's labeling,201803051608,202004021523
IPEGA,¦¨¤H,Clcr,0,29.99,mL/min,mL/min,Reduce to 135 mcg/wk; if severe adverse reactions develop¡A reduce to 90 mcg/wk; if intolerance persists¡A discontinue therapy.,¦å²G³zªR¯f¤H:Reduce to 135 mcg/wk; if severe adverse reactions develop¡A reduce to 90 mcg/wk; if intolerance persists¡A discontinue therapy.,,202303090957
IPERD,¦¨¤H,Clcr,0,0,mL/min,mL/min,Titrate infusion gradually,,201804121507,201804121507
IPET,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,Reduce initial dose ¡Agive 50% of the normal dose at the usual intervals,,201804141520,202303090959
IPET,¦¨¤H,Clcr,10.00,50.00,mL/min,mL/min,Give 75% of the normal dose at the usual intervals,,201804141519,202303091001
IPEY,¨àµ£,eGFR,0,999.99,mL/min/1.73m2,mL/min/1.73m2,use with caution. (has not been studied) À³®Ú¾ÚCaffeine¦å¤¤¿@«×¨Ó½Õ¾ã¡C,,201812091137,202312031537
IPHE,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,Reduce dose. Severe: Contraindicated.,,201809041537,202303091001
